date,epiweek,year,month,geography,geography_code,geography_type,disease,metric,positivity_percent,positive_tests,total_tests,age,sex
2023-09-03,35,2023,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,9.31,4653,50000,all,all
2023-09-10,36,2023,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,11.41,5703,50000,all,all
2023-09-17,37,2023,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,10.58,5289,50000,all,all
2023-09-24,38,2023,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,11.93,5966,50000,all,all
2023-10-01,39,2023,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,13.93,6964,50000,all,all
2023-10-08,40,2023,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.05,7526,50000,all,all
2023-10-15,41,2023,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.2,7599,50000,all,all
2023-10-22,42,2023,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.46,7732,50000,all,all
2023-10-29,43,2023,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.7,7851,50000,all,all
2023-11-05,44,2023,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.03,7515,50000,all,all
2023-11-12,45,2023,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.79,7894,50000,all,all
2023-11-19,46,2023,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,16.03,8013,50000,all,all
2023-11-26,47,2023,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,17.15,8575,50000,all,all
2023-12-03,48,2023,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,16.37,8184,50000,all,all
2023-12-10,49,2023,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.35,7176,50000,all,all
2023-12-17,50,2023,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.58,7790,50000,all,all
2023-12-24,51,2023,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.47,7233,50000,all,all
2023-12-31,52,2023,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,13.59,6793,50000,all,all
2024-01-07,1,2024,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,13.88,6941,50000,all,all
2024-01-14,2,2024,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,13.4,6702,50000,all,all
2024-01-21,3,2024,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,12.45,6222,50000,all,all
2024-01-28,4,2024,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,10.1,5047,50000,all,all
2024-02-04,5,2024,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,9.55,4773,50000,all,all
2024-02-11,6,2024,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,9.06,4529,50000,all,all
2024-02-18,7,2024,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,8.56,4281,50000,all,all
2024-02-25,8,2024,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,6.39,3195,50000,all,all
2024-03-03,9,2024,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,5.64,2818,50000,all,all
2024-03-10,10,2024,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,3.94,1971,50000,all,all
2024-03-17,11,2024,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,2.96,1479,50000,all,all
2024-03-24,12,2024,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,3.71,1856,50000,all,all
2024-03-31,13,2024,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,3.37,1683,50000,all,all
2024-04-07,14,2024,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,1.53,762,50000,all,all
2024-04-14,15,2024,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,1.78,890,50000,all,all
2024-04-21,16,2024,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.76,382,50000,all,all
2024-04-28,17,2024,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2024-05-05,18,2024,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2024-05-12,19,2024,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.87,435,50000,all,all
2024-05-19,20,2024,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2024-05-26,21,2024,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.94,468,50000,all,all
2024-06-02,22,2024,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2024-06-09,23,2024,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.87,433,50000,all,all
2024-06-16,24,2024,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.71,356,50000,all,all
2024-06-23,25,2024,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.94,471,50000,all,all
2024-06-30,26,2024,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,1.9,947,50000,all,all
2024-07-07,27,2024,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.96,480,50000,all,all
2024-07-14,28,2024,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,3.18,1591,50000,all,all
2024-07-21,29,2024,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,4.52,2260,50000,all,all
2024-07-28,30,2024,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,6.35,3173,50000,all,all
2024-08-04,31,2024,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,5.72,2860,50000,all,all
2024-08-11,32,2024,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,6.49,3243,50000,all,all
2024-08-18,33,2024,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,7.74,3871,50000,all,all
2024-08-25,34,2024,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,9.89,4942,50000,all,all
2024-09-01,35,2024,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,10.41,5203,50000,all,all
2024-09-08,36,2024,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,10.68,5340,50000,all,all
2024-09-15,37,2024,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,12.43,6215,50000,all,all
2024-09-22,38,2024,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,12.96,6478,50000,all,all
2024-09-29,39,2024,9,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.44,7220,50000,all,all
2024-10-06,40,2024,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,13.81,6904,50000,all,all
2024-10-13,41,2024,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.72,7359,50000,all,all
2024-10-20,42,2024,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.18,7589,50000,all,all
2024-10-27,43,2024,10,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.72,7361,50000,all,all
2024-11-03,44,2024,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,16.42,8209,50000,all,all
2024-11-10,45,2024,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,16.56,8280,50000,all,all
2024-11-17,46,2024,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,16.4,8201,50000,all,all
2024-11-24,47,2024,11,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,16.14,8068,50000,all,all
2024-12-01,48,2024,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.0,7499,50000,all,all
2024-12-08,49,2024,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.48,7740,50000,all,all
2024-12-15,50,2024,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,15.12,7558,50000,all,all
2024-12-22,51,2024,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.22,7108,50000,all,all
2024-12-29,52,2024,12,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.1,7048,50000,all,all
2023-01-01,52,2023,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.49,789,5093,all,all
2023-01-08,1,2023,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,12.14,888,7312,all,all
2023-01-15,2,2023,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,11.39,568,4986,all,all
2023-01-22,3,2023,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.55,291,2757,all,all
2023-01-29,4,2023,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,11.28,794,7041,all,all
2023-02-05,5,2023,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,8.62,640,7428,all,all
2023-02-12,6,2023,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,8.52,499,5860,all,all
2023-02-19,7,2023,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,8.67,376,4338,all,all
2023-02-26,8,2023,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,5.96,338,5667,all,all
2023-03-05,9,2023,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,4.99,135,2703,all,all
2023-03-12,10,2023,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,3.4,200,5887,all,all
2023-03-19,11,2023,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,2.2,126,5725,all,all
2023-03-26,12,2023,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,2.84,169,5954,all,all
2023-04-02,13,2023,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.77,126,7123,all,all
2023-04-09,14,2023,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.27,48,3789,all,all
2023-04-16,15,2023,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.95,49,5148,all,all
2023-04-23,16,2023,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.65,49,2965,all,all
2023-04-30,17,2023,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.21,9,4195,all,all
2023-05-07,18,2023,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.44,27,6129,all,all
2023-05-14,19,2023,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.07,4,5710,all,all
2023-05-21,20,2023,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.09,3,3308,all,all
2023-05-28,21,2023,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.04,1,2525,all,all
2023-06-04,22,2023,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.1,5,5243,all,all
2023-06-11,23,2023,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.08,5,6060,all,all
2023-06-18,24,2023,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.36,56,4126,all,all
2023-06-25,25,2023,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,2.09,121,5788,all,all
2023-07-02,26,2023,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,2.09,62,2968,all,all
2023-07-09,27,2023,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.85,136,7365,all,all
2023-07-16,28,2023,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,2.96,206,6960,all,all
2023-07-23,29,2023,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,4.35,234,5384,all,all
2023-07-30,30,2023,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,6.99,243,3476,all,all
2023-08-06,31,2023,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,6.39,460,7202,all,all
2023-08-13,32,2023,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,7.25,513,7074,all,all
2023-08-20,33,2023,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,9.88,723,7318,all,all
2023-08-27,34,2023,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,8.79,349,3972,all,all
2023-09-03,35,2023,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.13,339,3347,all,all
2023-09-10,36,2023,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,12.86,923,7180,all,all
2023-09-17,37,2023,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,13.65,761,5575,all,all
2023-09-24,38,2023,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,13.19,422,3200,all,all
2023-10-01,39,2023,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.19,909,5985,all,all
2023-10-08,40,2023,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,13.66,587,4297,all,all
2023-10-15,41,2023,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,18.01,1231,6835,all,all
2023-10-22,42,2023,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.96,807,5056,all,all
2023-10-29,43,2023,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,18.32,1101,6009,all,all
2023-11-05,44,2023,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,16.0,1112,6950,all,all
2023-11-12,45,2023,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,12.8,690,5391,all,all
2023-11-19,46,2023,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,16.47,795,4827,all,all
2023-11-26,47,2023,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,13.69,363,2652,all,all
2023-12-03,48,2023,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,13.96,923,6613,all,all
2023-12-10,49,2023,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,14.0,889,6349,all,all
2023-12-17,50,2023,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,12.04,676,5614,all,all
2023-12-24,51,2023,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.61,812,5203,all,all
2023-12-31,52,2023,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,16.18,992,6130,all,all
2024-01-07,1,2024,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.69,692,6475,all,all
2024-01-14,2,2024,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.57,496,4694,all,all
2024-01-21,3,2024,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.52,478,4544,all,all
2024-01-28,4,2024,1,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.3,338,3282,all,all
2024-02-04,5,2024,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.19,591,5800,all,all
2024-02-11,6,2024,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,9.98,726,7274,all,all
2024-02-18,7,2024,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,8.5,391,4598,all,all
2024-02-25,8,2024,2,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,8.37,358,4279,all,all
2024-03-03,9,2024,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,5.13,250,4870,all,all
2024-03-10,10,2024,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,5.39,267,4958,all,all
2024-03-17,11,2024,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,3.85,173,4492,all,all
2024-03-24,12,2024,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.67,95,5675,all,all
2024-03-31,13,2024,3,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,3.91,196,5015,all,all
2024-04-07,14,2024,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.36,21,5793,all,all
2024-04-14,15,2024,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.1,29,2632,all,all
2024-04-21,16,2024,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.1,7,7201,all,all
2024-04-28,17,2024,4,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.36,65,4791,all,all
2024-05-05,18,2024,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.08,6,7207,all,all
2024-05-12,19,2024,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.04,1,2855,all,all
2024-05-19,20,2024,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.06,4,6724,all,all
2024-05-26,21,2024,5,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.1,3,3090,all,all
2024-06-02,22,2024,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.64,36,5644,all,all
2024-06-09,23,2024,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,0.72,28,3910,all,all
2024-06-16,24,2024,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.26,79,6253,all,all
2024-06-23,25,2024,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,1.26,55,4360,all,all
2024-06-30,26,2024,6,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,2.21,93,4204,all,all
2024-07-07,27,2024,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,2.61,163,6254,all,all
2024-07-14,28,2024,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,4.88,147,3015,all,all
2024-07-21,29,2024,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,6.1,250,4100,all,all
2024-07-28,30,2024,7,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,4.14,184,4446,all,all
2024-08-04,31,2024,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,6.56,476,7253,all,all
2024-08-11,32,2024,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,6.86,388,5659,all,all
2024-08-18,33,2024,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,8.07,473,5862,all,all
2024-08-25,34,2024,8,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,9.12,589,6457,all,all
2024-09-01,35,2024,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.3,287,2787,all,all
2024-09-08,36,2024,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,11.96,563,4707,all,all
2024-09-15,37,2024,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,12.54,403,3214,all,all
2024-09-22,38,2024,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,10.59,592,5591,all,all
2024-09-29,39,2024,9,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.58,446,2863,all,all
2024-10-06,40,2024,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,11.61,700,6031,all,all
2024-10-13,41,2024,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,16.29,1069,6563,all,all
2024-10-20,42,2024,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.81,1175,7430,all,all
2024-10-27,43,2024,10,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.66,1000,6385,all,all
2024-11-03,44,2024,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,18.59,859,4621,all,all
2024-11-10,45,2024,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,16.08,411,2556,all,all
2024-11-17,46,2024,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,13.16,366,2781,all,all
2024-11-24,47,2024,11,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,17.13,1067,6230,all,all
2024-12-01,48,2024,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,14.68,1073,7310,all,all
2024-12-08,49,2024,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,19.38,701,3617,all,all
2024-12-15,50,2024,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,17.85,457,2560,all,all
2024-12-22,51,2024,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,15.34,440,2868,all,all
2024-12-29,52,2024,12,North East,E12000001,Region,influenza,influenza_testing_positivityByWeek,14.35,1054,7346,all,all
2023-01-01,52,2023,1,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,15.93,760,4772,all,all
2023-01-08,1,2023,1,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,16.29,883,5421,all,all
2023-01-15,2,2023,1,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,12.43,483,3886,all,all
2023-01-22,3,2023,1,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,10.27,495,4818,all,all
2023-01-29,4,2023,1,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,11.95,881,7371,all,all
2023-02-05,5,2023,2,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,9.9,593,5990,all,all
2023-02-12,6,2023,2,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,8.12,481,5923,all,all
2023-02-19,7,2023,2,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,8.09,571,7054,all,all
2023-02-26,8,2023,2,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,6.38,457,7163,all,all
2023-03-05,9,2023,3,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,5.72,156,2726,all,all
2023-03-12,10,2023,3,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,4.84,360,7436,all,all
2023-03-19,11,2023,3,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,3.24,177,5470,all,all
2023-03-26,12,2023,3,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,2.58,118,4574,all,all
2023-04-02,13,2023,4,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,3.6,100,2781,all,all
2023-04-09,14,2023,4,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,1.73,110,6344,all,all
2023-04-16,15,2023,4,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.83,56,6748,all,all
2023-04-23,16,2023,4,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.1,7,7270,all,all
2023-04-30,17,2023,4,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.08,3,3643,all,all
2023-05-07,18,2023,5,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.1,3,3067,all,all
2023-05-14,19,2023,5,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.71,36,5101,all,all
2023-05-21,20,2023,5,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.53,28,5259,all,all
2023-05-28,21,2023,5,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.07,5,6883,all,all
2023-06-04,22,2023,6,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.38,23,6020,all,all
2023-06-11,23,2023,6,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,1.07,34,3181,all,all
2023-06-18,24,2023,6,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,1.5,67,4461,all,all
2023-06-25,25,2023,6,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,0.09,6,7020,all,all
2023-07-02,26,2023,7,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,3.24,145,4482,all,all
2023-07-09,27,2023,7,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,3.2,218,6811,all,all
2023-07-16,28,2023,7,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,2.5,120,4795,all,all
2023-07-23,29,2023,7,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,4.01,199,4963,all,all
2023-07-30,30,2023,7,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,3.58,103,2879,all,all
2023-08-06,31,2023,8,North West,E12000002,Region,influenza,influenza_testing_positivityByWeek,5.83,183,3140,all,all
