date_value,area_name,disease,metric_value
2023-01-15,North West,COVID-19,4.7400
2023-01-15,North West,influenza,12.4300
2023-01-15,North West,RSV,3.9800
2023-01-15,South East,COVID-19,6.7400
2023-01-15,South East,influenza,10.0400
2023-01-15,South East,RSV,5.4700
2023-01-15,South West,COVID-19,4.7900
2023-01-15,South West,influenza,12.2200
2023-01-15,South West,RSV,4.7100
2023-01-15,West Midlands,COVID-19,4.9800
2023-01-15,West Midlands,influenza,11.2600
2023-01-15,West Midlands,RSV,5.0200
2023-01-15,Yorkshire and The Humber,COVID-19,7.2700
2023-01-15,Yorkshire and The Humber,influenza,11.9500
2023-01-15,Yorkshire and The Humber,RSV,5.6100
2023-01-22,East Midlands,COVID-19,6.2000
2023-01-22,East Midlands,influenza,15.0300
2023-01-22,East Midlands,RSV,3.6100
2023-01-22,East of England,COVID-19,5.6300
2023-01-22,East of England,influenza,13.2400
2023-01-22,East of England,RSV,3.8800
2023-01-22,England,COVID-19,6.2400
2023-01-22,England,influenza,12.7900
2023-01-22,England,RSV,4.0700
2023-01-22,London,COVID-19,5.9300
2023-01-22,London,influenza,10.6000
2023-01-22,London,RSV,4.2700
2023-01-22,North East,COVID-19,5.7800
2023-01-22,North East,influenza,10.5500
2023-01-22,North East,RSV,3.9000
2023-01-22,North West,COVID-19,7.2400
2023-01-22,North West,influenza,10.2700
2023-01-22,North West,RSV,3.6700
2023-01-22,South East,COVID-19,6.7400
2023-01-22,South East,influenza,13.5000
2023-01-22,South East,RSV,4.1700
2023-01-22,South West,COVID-19,6.1700
2023-01-22,South West,influenza,12.3300
2023-01-22,South West,RSV,4.6200
2023-01-22,West Midlands,COVID-19,6.5100
2023-01-22,West Midlands,influenza,12.2000
2023-01-22,West Midlands,RSV,3.6000
2023-01-22,Yorkshire and The Humber,COVID-19,5.2300
2023-01-22,Yorkshire and The Humber,influenza,8.8800
2023-01-22,Yorkshire and The Humber,RSV,4.0400
2023-01-29,East Midlands,COVID-19,7.5000
2023-01-29,East Midlands,influenza,11.1100
2023-01-29,East Midlands,RSV,3.1800
2023-01-29,East of England,COVID-19,6.7800
2023-01-29,East of England,influenza,12.3900
2023-01-29,East of England,RSV,3.6100
2023-01-29,England,COVID-19,5.9000
2023-01-29,England,influenza,10.4400
2023-01-29,England,RSV,4.5800
2023-01-29,London,COVID-19,5.0500
2023-01-29,London,influenza,11.9400
2023-01-29,London,RSV,3.7800
2023-01-29,North East,COVID-19,4.8800
2023-01-29,North East,influenza,11.2800
2023-01-29,North East,RSV,3.7600
2023-01-29,North West,COVID-19,5.9800
2023-01-29,North West,influenza,11.9500
2023-01-29,North West,RSV,3.5000
2023-01-29,South East,COVID-19,5.7100
2023-01-29,South East,influenza,9.0800
2023-01-29,South East,RSV,4.4800
2023-01-29,South West,COVID-19,5.0700
2023-01-29,South West,influenza,10.2000
2023-01-29,South West,RSV,4.3700
2023-01-29,West Midlands,COVID-19,5.7100
2023-01-29,West Midlands,influenza,10.6700
2023-01-29,West Midlands,RSV,3.6600
2023-01-29,Yorkshire and The Humber,COVID-19,4.8000
2023-01-29,Yorkshire and The Humber,influenza,11.1300
2023-01-29,Yorkshire and The Humber,RSV,4.6100
2023-02-05,East Midlands,COVID-19,4.7600
2023-02-05,East Midlands,influenza,10.1200
2023-02-05,East Midlands,RSV,3.5400
2023-02-05,East of England,COVID-19,5.1300
2023-02-05,East of England,influenza,9.7600
2023-02-05,East of England,RSV,3.6500
2023-02-05,England,COVID-19,6.0700
2023-02-05,England,influenza,9.4600
2023-02-05,England,RSV,3.6700
2023-02-05,London,COVID-19,5.8800
2023-02-05,London,influenza,9.4600
2023-02-05,London,RSV,2.6000
2023-02-05,North East,COVID-19,5.3500
2023-02-05,North East,influenza,8.6200
2023-02-05,North East,RSV,3.2300
2023-02-05,North West,COVID-19,5.8900
2023-02-05,North West,influenza,9.9000
2023-02-05,North West,RSV,3.8500
2023-02-05,South East,COVID-19,4.6500
2023-02-05,South East,influenza,10.6100
2023-02-05,South East,RSV,3.1600
2023-02-05,South West,COVID-19,4.2600
2023-02-05,South West,influenza,8.1100
2023-02-05,South West,RSV,2.9000
2023-02-05,West Midlands,COVID-19,5.4300
2023-02-05,West Midlands,influenza,9.4600
2023-02-05,West Midlands,RSV,2.7400
2023-02-05,Yorkshire and The Humber,COVID-19,4.1200
2023-02-05,Yorkshire and The Humber,influenza,11.2800
2023-02-05,Yorkshire and The Humber,RSV,3.1300
2023-02-12,East Midlands,COVID-19,6.2700
2023-02-12,East Midlands,influenza,11.0000
2023-02-12,East Midlands,RSV,2.5700
2023-02-12,East of England,COVID-19,4.6300
2023-02-12,East of England,influenza,7.4600
2023-02-12,East of England,RSV,2.7000
2023-02-12,England,COVID-19,5.3800
2023-02-12,England,influenza,9.9100
2023-02-12,England,RSV,2.8000
2023-02-12,London,COVID-19,5.1000
2023-02-12,London,influenza,6.0200
2023-02-12,London,RSV,3.2800
2023-02-12,North East,COVID-19,5.5900
2023-02-12,North East,influenza,8.5200
2023-02-12,North East,RSV,3.6200
2023-02-12,North West,COVID-19,4.1600
2023-02-12,North West,influenza,8.1200
2023-02-12,North West,RSV,3.9900
2023-02-12,South East,COVID-19,6.5200
2023-02-12,South East,influenza,6.6900
2023-02-12,South East,RSV,2.6500
2023-02-12,South West,COVID-19,5.5900
2023-02-12,South West,influenza,7.9600
2023-02-12,South West,RSV,3.6800
2023-02-12,West Midlands,COVID-19,4.9600
2023-02-12,West Midlands,influenza,8.5100
2023-02-12,West Midlands,RSV,3.9400
2023-02-12,Yorkshire and The Humber,COVID-19,4.0700
2023-02-12,Yorkshire and The Humber,influenza,8.0400
2023-02-12,Yorkshire and The Humber,RSV,2.3100
2023-02-19,East Midlands,COVID-19,5.5700
2023-02-19,East Midlands,influenza,7.6000
2023-02-19,East Midlands,RSV,2.7900
2023-02-19,East of England,COVID-19,5.0100
2023-02-19,East of England,influenza,7.6000
2023-02-19,East of England,RSV,2.5400
2023-02-19,England,COVID-19,5.6200
2023-02-19,England,influenza,8.2500
2023-02-19,England,RSV,2.7100
2023-02-19,London,COVID-19,4.2600
2023-02-19,London,influenza,7.3300
2023-02-19,London,RSV,2.2800
2023-02-19,North East,COVID-19,3.9800
2023-02-19,North East,influenza,8.6700
2023-02-19,North East,RSV,3.1900
2023-02-19,North West,COVID-19,4.6800
2023-02-19,North West,influenza,8.0900
2023-02-19,North West,RSV,2.4900
2023-02-19,South East,COVID-19,3.5700
2023-02-19,South East,influenza,8.2200
2023-02-19,South East,RSV,4.0600
2023-02-19,South West,COVID-19,6.3700
2023-02-19,South West,influenza,9.3100
2023-02-19,South West,RSV,2.8900
2023-02-19,West Midlands,COVID-19,4.8100
2023-02-19,West Midlands,influenza,6.4300
2023-02-19,West Midlands,RSV,2.4100
2023-02-19,Yorkshire and The Humber,COVID-19,4.3700
2023-02-19,Yorkshire and The Humber,influenza,8.8500
2023-02-19,Yorkshire and The Humber,RSV,2.9900
2023-02-26,East Midlands,COVID-19,4.6800
2023-02-26,East Midlands,influenza,5.0100
2023-02-26,East Midlands,RSV,2.5000
2023-02-26,East of England,COVID-19,5.1000
2023-02-26,East of England,influenza,6.2900
2023-02-26,East of England,RSV,2.3900
2023-02-26,England,COVID-19,4.0500
2023-02-26,England,influenza,6.2600
2023-02-26,England,RSV,2.8600
2023-02-26,London,COVID-19,5.0400
2023-02-26,London,influenza,7.1200
2023-02-26,London,RSV,2.0500
2023-02-26,North East,COVID-19,5.1500
2023-02-26,North East,influenza,5.9600
2023-02-26,North East,RSV,2.3700
2023-02-26,North West,COVID-19,4.6700
2023-02-26,North West,influenza,6.3800
2023-02-26,North West,RSV,2.5900
2023-02-26,South East,COVID-19,4.9900
2023-02-26,South East,influenza,7.2100
2023-02-26,South East,RSV,2.1800
2023-02-26,South West,COVID-19,4.8200
2023-02-26,South West,influenza,5.2500
2023-02-26,South West,RSV,2.8300
2023-02-26,West Midlands,COVID-19,3.2900
2023-02-26,West Midlands,influenza,6.8200
2023-02-26,West Midlands,RSV,2.6100
2023-02-26,Yorkshire and The Humber,COVID-19,4.6300
2023-02-26,Yorkshire and The Humber,influenza,5.7900
2023-02-26,Yorkshire and The Humber,RSV,2.1400
2023-03-05,East Midlands,COVID-19,4.7600
2023-03-05,East Midlands,influenza,5.5200
2023-03-05,East Midlands,RSV,1.5600
2023-03-05,East of England,COVID-19,5.0000
2023-03-05,East of England,influenza,4.8000
2023-03-05,East of England,RSV,1.9900
2023-03-05,England,COVID-19,4.2800
2023-03-05,England,influenza,6.0800
2023-03-05,England,RSV,2.8600
2023-03-05,London,COVID-19,3.3300
2023-03-05,London,influenza,6.4200
2023-03-05,London,RSV,2.2700
2023-03-05,North East,COVID-19,6.0500
2023-03-05,North East,influenza,4.9900
2023-03-05,North East,RSV,2.1400
2023-03-05,North West,COVID-19,4.3800
2023-03-05,North West,influenza,5.7200
2023-03-05,North West,RSV,2.2100
2023-03-05,South East,COVID-19,5.1600
2023-03-05,South East,influenza,5.7900
2023-03-05,South East,RSV,2.7900
2023-03-05,South West,COVID-19,4.2700
2023-03-05,South West,influenza,5.7400
2023-03-05,South West,RSV,2.0700
2023-03-05,West Midlands,COVID-19,4.4700
2023-03-05,West Midlands,influenza,6.1100
2023-03-05,West Midlands,RSV,2.4300
2023-03-05,Yorkshire and The Humber,COVID-19,4.7300
2023-03-05,Yorkshire and The Humber,influenza,4.6400
2023-03-05,Yorkshire and The Humber,RSV,1.7400
2023-03-12,East Midlands,COVID-19,3.6300
2023-03-12,East Midlands,influenza,5.8000
2023-03-12,East Midlands,RSV,1.7300
2023-03-12,East of England,COVID-19,3.1300
2023-03-12,East of England,influenza,3.8400
2023-03-12,East of England,RSV,1.3000
2023-03-12,England,COVID-19,3.9400
2023-03-12,England,influenza,4.3200
2023-03-12,England,RSV,1.4500
2023-03-12,London,COVID-19,3.6700
2023-03-12,London,influenza,4.7300
2023-03-12,London,RSV,1.8100
2023-03-12,North East,COVID-19,3.6400
2023-03-12,North East,influenza,3.4000
2023-03-12,North East,RSV,2.0300
2023-03-12,North West,COVID-19,4.1100
2023-03-12,North West,influenza,4.8400
2023-03-12,North West,RSV,1.6100
2023-03-12,South East,COVID-19,4.3100
2023-03-12,South East,influenza,5.0100
2023-03-12,South East,RSV,2.5100
2023-03-12,South West,COVID-19,4.6500
2023-03-12,South West,influenza,4.5200
2023-03-12,South West,RSV,1.8300
2023-03-12,West Midlands,COVID-19,3.5200
2023-03-12,West Midlands,influenza,6.0100
2023-03-12,West Midlands,RSV,1.6400
2023-03-12,Yorkshire and The Humber,COVID-19,3.2700
2023-03-12,Yorkshire and The Humber,influenza,4.1600
2023-03-12,Yorkshire and The Humber,RSV,1.4400
2023-03-19,East Midlands,COVID-19,2.6100
2023-03-19,East Midlands,influenza,4.4500
2023-03-19,East Midlands,RSV,1.0400
2023-03-19,East of England,COVID-19,3.5200
2023-03-19,East of England,influenza,3.7000
2023-03-19,East of England,RSV,1.4100
2023-03-19,England,COVID-19,3.0600
2023-03-19,England,influenza,3.4200
2023-03-19,England,RSV,1.0700
2023-03-19,London,COVID-19,3.7200
2023-03-19,London,influenza,4.7000
2023-03-19,London,RSV,1.6400
2023-03-19,North East,COVID-19,3.3600
2023-03-19,North East,influenza,2.2000
2023-03-19,North East,RSV,1.8200
2023-03-19,North West,COVID-19,3.2400
2023-03-19,North West,influenza,3.2400
2023-03-19,North West,RSV,1.3100
2023-03-19,South East,COVID-19,3.0900
2023-03-19,South East,influenza,4.5900
2023-03-19,South East,RSV,1.7400
2023-03-19,South West,COVID-19,3.9300
2023-03-19,South West,influenza,3.5000
2023-03-19,South West,RSV,1.6400
2023-03-19,West Midlands,COVID-19,3.3200
2023-03-19,West Midlands,influenza,3.3500
2023-03-19,West Midlands,RSV,1.9500
2023-03-19,Yorkshire and The Humber,COVID-19,3.1800
2023-03-19,Yorkshire and The Humber,influenza,1.6900
2023-03-19,Yorkshire and The Humber,RSV,2.0100
2023-03-26,East Midlands,COVID-19,3.1100
2023-03-26,East Midlands,influenza,1.9600
2023-03-26,East Midlands,RSV,1.0100
2023-03-26,East of England,COVID-19,3.0500
2023-03-26,East of England,influenza,3.3300
2023-03-26,East of England,RSV,1.1900
2023-03-26,England,COVID-19,3.7900
2023-03-26,England,influenza,3.1400
2023-03-26,England,RSV,1.9200
2023-03-26,London,COVID-19,2.2800
2023-03-26,London,influenza,3.2400
2023-03-26,London,RSV,1.3600
2023-03-26,North East,COVID-19,3.0700
2023-03-26,North East,influenza,2.8400
2023-03-26,North East,RSV,1.0000
2023-03-26,North West,COVID-19,2.5800
2023-03-26,North West,influenza,2.5800
2023-03-26,North West,RSV,1.2500
2023-03-26,South East,COVID-19,3.1400
2023-03-26,South East,influenza,.5300
2023-03-26,South East,RSV,.9200
2023-03-26,South West,COVID-19,3.6600
2023-03-26,South West,influenza,4.1500
2023-03-26,South West,RSV,1.3800
2023-03-26,West Midlands,COVID-19,3.8100
2023-03-26,West Midlands,influenza,2.8600
2023-03-26,West Midlands,RSV,1.2100
2023-03-26,Yorkshire and The Humber,COVID-19,4.1800
2023-03-26,Yorkshire and The Humber,influenza,3.3300
2023-03-26,Yorkshire and The Humber,RSV,1.5400
2023-04-02,East Midlands,COVID-19,3.7800
2023-04-02,East Midlands,influenza,.3500
2023-04-02,East Midlands,RSV,.2600
2023-04-02,East of England,COVID-19,2.2900
2023-04-02,East of England,influenza,2.0200
2023-04-02,East of England,RSV,.7600
2023-04-02,England,COVID-19,4.2200
2023-04-02,England,influenza,.6500
2023-04-02,England,RSV,1.2200
2023-04-02,London,COVID-19,2.0200
2023-04-02,London,influenza,1.7100
2023-04-02,London,RSV,1.7400
2023-04-02,North East,COVID-19,3.0300
2023-04-02,North East,influenza,1.7700
2023-04-02,North East,RSV,1.1900
2023-04-02,North West,COVID-19,3.6400
2023-04-02,North West,influenza,3.6000
2023-04-02,North West,RSV,1.0600
2023-04-02,South East,COVID-19,2.3500
2023-04-02,South East,influenza,2.4500
2023-04-02,South East,RSV,1.1600
2023-04-02,South West,COVID-19,2.9000
2023-04-02,South West,influenza,1.5500
2023-04-02,South West,RSV,1.2300
2023-04-02,West Midlands,COVID-19,2.8000
2023-04-02,West Midlands,influenza,1.0600
2023-04-02,West Midlands,RSV,1.4000
2023-04-02,Yorkshire and The Humber,COVID-19,2.7900
2023-04-02,Yorkshire and The Humber,influenza,1.0000
2023-04-02,Yorkshire and The Humber,RSV,1.1800
2023-04-09,East Midlands,COVID-19,2.8700
2023-04-09,East Midlands,influenza,1.5200
2023-04-09,East Midlands,RSV,1.2500
2023-04-09,East of England,COVID-19,2.6100
2023-04-09,East of England,influenza,1.5900
2023-04-09,East of England,RSV,1.4200
2023-04-09,England,COVID-19,2.8200
2023-04-09,England,influenza,.1100
2023-04-09,England,RSV,.6200
2023-04-09,London,COVID-19,2.1300
2023-04-09,London,influenza,.0700
2023-04-09,London,RSV,1.1700
2023-04-09,North East,COVID-19,2.8000
2023-04-09,North East,influenza,1.2700
2023-04-09,North East,RSV,1.2500
2023-04-09,North West,COVID-19,4.4900
2023-04-09,North West,influenza,1.7300
2023-04-09,North West,RSV,.8600
2023-04-09,South East,COVID-19,2.7600
2023-04-09,South East,influenza,2.3900
2023-04-09,South East,RSV,.6600
2023-04-09,South West,COVID-19,2.0500
2023-04-09,South West,influenza,1.5400
2023-04-09,South West,RSV,.5400
2023-04-09,West Midlands,COVID-19,2.5900
2023-04-09,West Midlands,influenza,.8900
2023-04-09,West Midlands,RSV,.7800
2023-04-09,Yorkshire and The Humber,COVID-19,2.3600
2023-04-09,Yorkshire and The Humber,influenza,.6900
2023-04-09,Yorkshire and The Humber,RSV,1.2500
2023-04-16,East Midlands,COVID-19,3.0400
2023-04-16,East Midlands,influenza,.3700
2023-04-16,East Midlands,RSV,.7100
2023-04-16,East of England,COVID-19,2.6800
2023-04-16,East of England,influenza,1.3000
2023-04-16,East of England,RSV,.2000
2023-04-16,England,COVID-19,2.8900
2023-04-16,England,influenza,.4500
2023-04-16,England,RSV,.8500
2023-04-16,London,COVID-19,2.4500
2023-04-16,London,influenza,2.3500
2023-04-16,London,RSV,.2500
2023-04-16,North East,COVID-19,2.5600
2023-04-16,North East,influenza,.9500
2023-04-16,North East,RSV,.6700
2023-04-16,North West,COVID-19,2.7300
2023-04-16,North West,influenza,.8300
2023-04-16,North West,RSV,.0900
2023-04-16,South East,COVID-19,2.8500
2023-04-16,South East,influenza,.1100
2023-04-16,South East,RSV,.8300
2023-04-16,South West,COVID-19,3.3200
2023-04-16,South West,influenza,1.5100
2023-04-16,South West,RSV,1.0000
2023-04-16,West Midlands,COVID-19,3.2400
2023-04-16,West Midlands,influenza,.3400
2023-04-16,West Midlands,RSV,.6200
2023-04-16,Yorkshire and The Humber,COVID-19,2.3800
2023-04-16,Yorkshire and The Humber,influenza,1.4400
2023-04-16,Yorkshire and The Humber,RSV,.4100
2023-04-23,East Midlands,COVID-19,3.4700
2023-04-23,East Midlands,influenza,.9600
2023-04-23,East Midlands,RSV,.6800
2023-04-23,East of England,COVID-19,2.6300
2023-04-23,East of England,influenza,.0800
2023-04-23,East of England,RSV,.3300
2023-04-23,England,COVID-19,2.5100
2023-04-23,England,influenza,.1000
2023-04-23,England,RSV,.1000
2023-04-23,London,COVID-19,2.3400
2023-04-23,London,influenza,1.4400
2023-04-23,London,RSV,.3800
2023-04-23,North East,COVID-19,1.7300
2023-04-23,North East,influenza,1.6500
2023-04-23,North East,RSV,.0800
2023-04-23,North West,COVID-19,2.1300
2023-04-23,North West,influenza,.1000
2023-04-23,North West,RSV,.7400
2023-04-23,South East,COVID-19,2.8900
2023-04-23,South East,influenza,.6700
2023-04-23,South East,RSV,.9000
2023-04-23,South West,COVID-19,2.4800
2023-04-23,South West,influenza,.0800
2023-04-23,South West,RSV,.4300
2023-04-23,West Midlands,COVID-19,2.7200
2023-04-23,West Midlands,influenza,.5300
2023-04-23,West Midlands,RSV,.5000
2023-04-23,Yorkshire and The Humber,COVID-19,3.0300
2023-04-23,Yorkshire and The Humber,influenza,1.5000
2023-04-23,Yorkshire and The Humber,RSV,.6100
2023-04-30,East Midlands,COVID-19,2.6800
2023-04-30,East Midlands,influenza,.0700
2023-04-30,East Midlands,RSV,.2900
2023-04-30,East of England,COVID-19,2.8300
2023-04-30,East of England,influenza,1.0100
2023-04-30,East of England,RSV,.3700
2023-04-30,England,COVID-19,1.9900
2023-04-30,England,influenza,.2900
2023-04-30,England,RSV,.4100
2023-04-30,London,COVID-19,1.4300
2023-04-30,London,influenza,.0800
2023-04-30,London,RSV,.6500
2023-04-30,North East,COVID-19,2.8400
2023-04-30,North East,influenza,.2100
2023-04-30,North East,RSV,.7500
2023-04-30,North West,COVID-19,2.4000
2023-04-30,North West,influenza,.0800
2023-04-30,North West,RSV,.7000
2023-04-30,South East,COVID-19,1.3700
2023-04-30,South East,influenza,.0500
2023-04-30,South East,RSV,.1000
2023-04-30,South West,COVID-19,2.4600
2023-04-30,South West,influenza,1.8900
2023-04-30,South West,RSV,.2200
2023-04-30,West Midlands,COVID-19,1.9000
2023-04-30,West Midlands,influenza,.4200
2023-04-30,West Midlands,RSV,.6700
2023-04-30,Yorkshire and The Humber,COVID-19,2.4300
2023-04-30,Yorkshire and The Humber,influenza,.0700
2023-04-30,Yorkshire and The Humber,RSV,.3900
2023-05-07,East Midlands,COVID-19,4.1400
2023-05-07,East Midlands,influenza,.0700
2023-05-07,East Midlands,RSV,.2800
2023-05-07,East of England,COVID-19,2.3000
2023-05-07,East of England,influenza,.0900
2023-05-07,East of England,RSV,.8200
2023-05-07,England,COVID-19,1.3500
2023-05-07,England,influenza,.1000
2023-05-07,England,RSV,.4200
2023-05-07,London,COVID-19,2.4200
2023-05-07,London,influenza,.1000
2023-05-07,London,RSV,.0500
2023-05-07,North East,COVID-19,2.3200
2023-05-07,North East,influenza,.4400
2023-05-07,North East,RSV,.3800
2023-05-07,North West,COVID-19,2.1200
2023-05-07,North West,influenza,.1000
2023-05-07,North West,RSV,.0900
2023-05-07,South East,COVID-19,2.3900
2023-05-07,South East,influenza,.0800
2023-05-07,South East,RSV,.1300
2023-05-07,South West,COVID-19,2.0800
2023-05-07,South West,influenza,2.4100
2023-05-07,South West,RSV,.5300
2023-05-07,West Midlands,COVID-19,2.4500
2023-05-07,West Midlands,influenza,.0800
2023-05-07,West Midlands,RSV,.0800
2023-05-07,Yorkshire and The Humber,COVID-19,1.5600
2023-05-07,Yorkshire and The Humber,influenza,.1000
2023-05-07,Yorkshire and The Humber,RSV,.0800
2023-05-14,East Midlands,COVID-19,1.6800
2023-05-14,East Midlands,influenza,.0600
2023-05-14,East Midlands,RSV,.1300
2023-05-14,East of England,COVID-19,2.6900
2023-05-14,East of England,influenza,.0900
2023-05-14,East of England,RSV,.4800
2023-05-14,England,COVID-19,1.8600
2023-05-14,England,influenza,.1000
2023-05-14,England,RSV,.5600
2023-05-14,London,COVID-19,1.8100
2023-05-14,London,influenza,.0700
2023-05-14,London,RSV,.1200
2023-05-14,North East,COVID-19,2.1900
2023-05-14,North East,influenza,.0700
2023-05-14,North East,RSV,.0400
2023-05-14,North West,COVID-19,3.1000
2023-05-14,North West,influenza,.7100
2023-05-14,North West,RSV,.9300
2023-05-14,South East,COVID-19,2.2300
2023-05-14,South East,influenza,.0800
2023-05-14,South East,RSV,.1400
2023-05-14,South West,COVID-19,2.7300
2023-05-14,South West,influenza,.1000
2023-05-14,South West,RSV,.5100
2023-05-14,West Midlands,COVID-19,1.6800
2023-05-14,West Midlands,influenza,.3600
2023-05-14,West Midlands,RSV,.0400
2023-05-14,Yorkshire and The Humber,COVID-19,2.8900
2023-05-14,Yorkshire and The Humber,influenza,.1800
2023-05-14,Yorkshire and The Humber,RSV,.4800
2023-05-21,East Midlands,COVID-19,2.1900
2023-05-21,East Midlands,influenza,.0700
2023-05-21,East Midlands,RSV,.2500
2023-05-21,East of England,COVID-19,2.0800
2023-05-21,East of England,influenza,.4700
2023-05-21,East of England,RSV,.1000
2023-05-21,England,COVID-19,1.5100
2023-05-21,England,influenza,.7800
2023-05-21,England,RSV,.1000
2023-05-21,London,COVID-19,2.3400
2023-05-21,London,influenza,.9000
2023-05-21,London,RSV,.0700
2023-05-21,North East,COVID-19,3.3300
2023-05-21,North East,influenza,.0900
2023-05-21,North East,RSV,.1900
2023-05-21,North West,COVID-19,1.2200
2023-05-21,North West,influenza,.5300
2023-05-21,North West,RSV,.5200
2023-05-21,South East,COVID-19,2.3200
2023-05-21,South East,influenza,.0600
2023-05-21,South East,RSV,.0900
2023-05-21,South West,COVID-19,2.2800
2023-05-21,South West,influenza,1.1900
2023-05-21,South West,RSV,.7600
2023-05-21,West Midlands,COVID-19,2.0700
2023-05-21,West Midlands,influenza,1.3500
2023-05-21,West Midlands,RSV,.0800
2023-05-21,Yorkshire and The Humber,COVID-19,1.8600
2023-05-21,Yorkshire and The Humber,influenza,.0700
2023-05-21,Yorkshire and The Humber,RSV,.1600
2023-05-28,East Midlands,COVID-19,1.3700
2023-05-28,East Midlands,influenza,.7500
2023-05-28,East Midlands,RSV,.3500
2023-05-28,East of England,COVID-19,3.3000
2023-05-28,East of England,influenza,.1200
2023-05-28,East of England,RSV,.5400
2023-05-28,England,COVID-19,3.0900
2023-05-28,England,influenza,.1000
2023-05-28,England,RSV,.3300
2023-05-28,London,COVID-19,2.2300
2023-05-28,London,influenza,.0600
2023-05-28,London,RSV,.0700
2023-05-28,North East,COVID-19,2.4400
2023-05-28,North East,influenza,.0400
2023-05-28,North East,RSV,.4900
2023-05-28,North West,COVID-19,2.4500
2023-05-28,North West,influenza,.0700
2023-05-28,North West,RSV,.0600
2023-05-28,South East,COVID-19,1.9300
2023-05-28,South East,influenza,.0800
2023-05-28,South East,RSV,.7700
2023-05-28,South West,COVID-19,2.5200
2023-05-28,South West,influenza,.3500
2023-05-28,South West,RSV,.6000
2023-05-28,West Midlands,COVID-19,2.3800
2023-05-28,West Midlands,influenza,.0900
2023-05-28,West Midlands,RSV,.0900
2023-05-28,Yorkshire and The Humber,COVID-19,2.1200
2023-05-28,Yorkshire and The Humber,influenza,.1200
2023-05-28,Yorkshire and The Humber,RSV,.0800
2023-06-04,East Midlands,COVID-19,1.5600
2023-06-04,East Midlands,influenza,.2000
2023-06-04,East Midlands,RSV,.5300
2023-06-04,East of England,COVID-19,2.3500
2023-06-04,East of England,influenza,.0900
2023-06-04,East of England,RSV,.3600
2023-06-04,England,COVID-19,2.2500
2023-06-04,England,influenza,.1000
2023-06-04,England,RSV,.1000
